name,lat ,lon,銘柄
（株）兼中　田中商店,43.0909579,141.3425112,"['男山']"
クワハラ食糧（株）,43.1150863,141.3401039,"['男山']"
酒のいろは - （有）鈴木商店,43.1096344,141.3432736,"['男山']"
（有）石黒商店,43.0419761,141.414893,"['男山']"
セラーズ大谷地店,43.0211144,141.4470901,"['男山']"
（有）根本商店,43.0058261,141.3493239,"['男山']"
生活協同組合コープさっぽろ　ソシア店,42.9913498,141.3335263,"['男山']"
（株）マルミ　北栄商店,43.1049105,141.3777932,"['男山', '仙禽']"
地酒・ワイン屋　みのや,41.7999172,140.7345388,"['男山']"
（株）イチマス,41.7798136,140.7850594,"['男山']"
Ｍポケット - （株）石本商店,42.901292,140.807762,"['男山']"
（株）丸コ小林商店,43.1794875,141.004099,"['男山']"
ワインハウス　グリーン - （株）きたがわ,42.3517999,141.0102209,"['男山']"
リカーマックス - （株）寿浅,42.4725921,140.8688815,"['男山']"
（株）サンユー食材,42.6411863,141.6089124,"['男山']"
リカーショップＮＩＫＫＥＩ - 日軽北海道（株）,42.6298539,141.5423445,"['男山']"
アルス美原店 - （有）エー・ビーショップ,42.614874,141.505173,"['男山']"
蔵太郎（株）,43.0660933,141.361465,"['男山']"
ワタショウ（株）,43.0577223,141.3632152,"['男山']"
（株）わしづ,43.0553274,141.3622376,"['男山']"
グランヴァンセラーさっぽろ東急店 - （株）いまい　札幌東急店,43.0664861,141.3526596,"['男山']"
リカーショップ　ＡＲＡＤＥ - （有）新出,43.0469551,141.374216,"['男山']"
リカーショップ　いまい - （株）いまい,43.0415172,141.3617498,"['男山']"
（有）山谷商店,43.0808307,141.2800203,"['男山']"
グランヴァンセラーすすきの店 - （株）いまい　すすきの店,43.0545329,141.3530488,"['男山']"
クワハラ食糧（株）ささや店,43.0537669,141.3453866,"['男山']"
（株）ムラオカ食品,43.0494529,141.3433262,"['男山']"
（有）カネダイ早坂,43.0959257,141.3781474,"['男山']"
（株）山三ふじや　渡部商店イオン千歳店,42.8288531,141.648617,"['男山']"
山田商店,43.0926847,141.5254412,"['男山']"
（株）吉竹商店,43.7605792,142.353412,"['男山']"
大垣商事（株）,43.7646629,142.3650249,"['男山']"
（株）河井商店,43.7665297,142.3575627,"['男山']"
西村商店,43.7676757,142.3701283,"['男山']"
（有）六車商店,43.7881209,142.3524061,"['男山']"
（有）リカーショップ　かまだ,43.4573458,142.4702813,"['男山']"
（有）リカーショップ　カクイ,44.3608225,141.6973092,"['男山']"
（株）リカーショップとらすと,43.7708833,142.3650083,"['男山']"
（有）久楽屋,42.9092251,143.2038712,"['男山']"
（株）イノウエ,42.9104538,143.2020279,"['男山']"
（株）榮屋酒店,42.9836833,144.3869933,"['男山']"
（有）梶川商店,44.0195498,144.2652288,"['男山']"
山崎商店,44.1734982,142.3927369,"['男山']"
スコール本店 - （株）フクハラ,40.8200339,140.7541631,"['如空']"
紅屋商事（株）　メガ観光通店,40.8033829,140.7553726,"['如空', '一ノ蔵', '天寿', '大山']"
紅屋商事（株）　メガ大野店,40.8006329,140.7393163,"['如空', '一ノ蔵', '天寿', '大山']"
青森県民生活協同組合　八重田店,40.8317476,140.7897765,"['如空']"
（株）さくら野百貨店　青森本店,40.8262168,140.7390748,"['如空']"
（株）さくら野百貨店　八戸店,40.5103305,141.4909909,"['如空']"
紅屋商事（株）　メガ江陽店,40.5219511,141.5052414,"['如空', '一ノ蔵', '天寿', '大山']"
（有）中居酒店,40.6846467,141.3651993,"['如空', '天寿']"
紅屋商事（株）　メガベニマート黒石店,40.6372973,140.5983659,"['如空', '一ノ蔵', '天寿', '大山']"
紅屋商事（株）　メガ神田店,40.6241961,140.4863999,"['如空', '一ノ蔵', '天寿', '大山']"
紅屋商事（株）　メガ城東店,40.5984835,140.5091487,"['如空', '一ノ蔵', '天寿', '大山']"
紅屋商事（株）　メガ五所川原店,40.8005409,140.464808,"['如空', '一ノ蔵', '天寿', '大山']"
（株）丸三毛内商店,40.8082962,140.4455749,"['如空']"
紅屋商事（株）　メガ西青森店,40.8307574,140.7021316,"['如空', '一ノ蔵', '天寿', '大山']"
紅屋商事（株）　メガ柏店,40.8005874,140.4144929,"['如空', '一ノ蔵', '天寿', '大山']"
木津商店,40.5085132,141.4334314,"['如空']"
紅屋商事（株）　メガ長苗代店,40.5131482,141.4516503,"['如空', '一ノ蔵', '天寿', '大山']"
かわさく酒店 - 川村荘二酒店,40.6963743,141.1537442,"['如空']"
なるみ酒店 - （有）成美商事,39.7279165,140.107148,"['天寿']"
紅屋商事（株）　メガ新国道店,39.7329183,140.099548,"['天寿', '大山']"
紅屋商事（株）　メガ仁井田店,39.6730612,140.125093,"['天寿', '大山']"
酒のライズ - （有）ライジング,39.6693289,140.0927538,"['天寿']"
紅屋商事（株）　メガ土崎店,39.768219,140.0672182,"['天寿', '大山']"
（有）中野酒店,39.3119285,140.56895,"['天寿', '旭日']"
（株）斉藤酒米店,39.4670977,140.4702973,"['天寿']"
木島酒店,39.359118,140.0771778,"['天寿']"
紅屋商事（株）　メガ能代中央店,40.1913985,140.0232605,"['天寿', '大山']"
酒のツツイ - （株）筒井商店　大館支店,40.2722852,140.5793428,"['天寿']"
トム太商店 - （株）須藤商店,39.214969,139.9008039,"['天寿']"
酒のマルジュウ - （名）佐藤商店,40.2248588,140.3654065,"['天寿']"
（株）関小市商店,40.1900659,140.79039,"['天寿']"
（有）名郷根商店,39.7092847,141.1330088,"['天寿']"
（有）小林商店,39.1345477,141.1511278,"['一ノ蔵']"
（有）タカトメ,39.2347033,141.1227436,"['一ノ蔵', '天寿', '大山']"
酒ノ蔵　わたなべ - （有）渡辺酒店,39.293248,141.0944466,"['天寿']"
タムラ酒店,40.1914798,141.7625374,"['天寿']"
さけ家こんこん,38.2495621,140.3305632,"['大山']"
（有）北庄　武田酒店,38.2668971,140.3362682,"['千代寿']"
（株）丸俊,38.2909657,140.3548331,"['一ノ蔵', '天寿', '大山', '千代寿']"
（有）金森酒店,38.251369,140.3262053,"['千代寿']"
（有）川田酒店,38.2323173,140.3114782,"['千代寿']"
酒専門店たかしま屋 - （有）高島屋本店,38.3684922,140.2832235,"['千代寿']"
グッディショップ　カネコ - 金子酒店,37.9157699,140.096964,"['千代寿']"
まるはち酒店,38.1146413,140.0339928,"['千代寿']"
川原子酒店,38.364771,140.3719206,"['千代寿']"
（株）大黒屋,38.3528622,140.3638515,"['一ノ蔵', '大山', '千代寿']"
（株）井上商店,38.7572493,140.3087381,"['天寿', '千代寿']"
小池商店,38.7249488,139.8393304,"['大山']"
（株）主婦の店　イーネ駅前店,38.7371775,139.834056,"['大山']"
（株）主婦の店　ＩＺＭＯ新斎店,38.7356403,139.8186638,"['大山']"
（株）主婦の店　ｍｉｎａ店,38.7174281,139.8306447,"['大山']"
（株）主婦の店　鶴岡パル店,38.7338054,139.7999609,"['大山']"
信屋酒店,38.7479724,139.7593682,"['大山']"
（有）羽藤酒店,38.9219575,139.8281644,"['大山']"
（株）ト一屋　みずほ通り店,38.9023526,139.8514006,"['大山']"
（有）木川屋商店,38.9150655,139.8525042,"['大山']"
地酒蔵　ゆうき - （株）結城酒店,38.04289,140.1612367,"['千代寿']"
後藤初太郎商店 - 後藤酒販店,38.8429918,139.9025063,"['大山']"
（有）阿部八酒店,38.2746141,140.8842188,"['一ノ蔵']"
錦本店（株）円達トレーディング,38.2675191,140.876609,"['一ノ蔵']"
（株）ヨークベニマル矢本店,38.4232333,141.2150865,"['一ノ蔵']"
河村酒店,37.9759348,140.7782534,"['一ノ蔵']"
グリーンマート　桂店 - カメイ（株）,38.3373692,140.8635389,"['一ノ蔵']"
（有）中勇分店,38.5609282,140.8638362,"['一ノ蔵']"
酒の九洲　黒松店　丸宮酒店 - （有）ハルコーポレーション,38.3035887,140.8822646,"['一ノ蔵']"
（株）吉田酒店,38.2151565,140.8780968,"['一ノ蔵']"
さいち - （株）佐市,38.2274397,140.7217814,"['一ノ蔵', '天寿']"
（有）酒仙堂かとう,38.2723063,140.979941,"['一ノ蔵']"
小畑酒店,38.2832255,140.9286192,"['一ノ蔵']"
（株）カネサ藤原屋,38.2667352,140.9265086,"['一ノ蔵']"
（有）櫻井商店,38.2594955,140.8848624,"['一ノ蔵']"
（有）佐精,38.3149642,141.0255,"['一ノ蔵']"
（有）四釜商店,38.4332611,141.3026759,"['一ノ蔵']"
すがわら商店,38.5603537,141.0236388,"['一ノ蔵']"
（株）北田商店,38.5490845,141.1119891,"['一ノ蔵']"
酒のビッグボックス　（有）田口酒店,38.7006727,141.2104597,"['一ノ蔵']"
地酒のリエゾン - （株）一ノ蔵,38.5014342,141.0486816,"['一ノ蔵']"
すがとよ酒店,38.9134642,141.580899,"['一ノ蔵']"
丸秀酒店,38.0068404,140.6202851,"['一ノ蔵']"
酒のだんざき - （有）檀崎,38.1135303,140.8719425,"['一ノ蔵']"
（株）吉岡屋,38.26535,140.7878143,"['一ノ蔵']"
（株）一桝,38.8319012,140.9990737,"['']"
（有）佐々木屋物産,38.574164,140.9617975,"['一ノ蔵']"
八幡屋,37.3705997,138.5696597,"['越の誉']"
田辺屋,37.9212352,139.0887041,"['越の誉']"
（株）佐藤酒店,37.6323641,138.962328,"['越の誉']"
リカーズファクトリーＫＡＤＯＹＡ - （株）かどや　ＫＡＤＯＹＡタウン４０３店,37.7844591,139.1141743,"['越の誉']"
（株）関根酒店,37.6006799,138.9208104,"['越の誉']"
（有）藤次郎商店,37.6974137,139.0636762,"['越の誉']"
リカーズファクトリーＫＡＤＯＹＡ - （株）かどや　ＫＡＤＯＹＡ五泉店,37.7447057,139.1889819,"['越の誉']"
（株）追分　クオーレ酒エクスプレス保原店,37.8211668,140.5487615,"['榮川']"
ワインブティック　ミディ - （株）追分,37.7516303,140.4571395,"['大山', '榮川']"
リカーズ酒蔵 - （株）いちい,37.750226,140.4452354,"['天寿', '榮川']"
（有）有賀酒店,37.1273463,140.2138709,"['榮川']"
まつみや酒店,37.2831469,140.3705739,"['榮川']"
（有）斎藤酒店,37.1468878,140.4549446,"['榮川']"
（株）うすい百貨店,37.3965857,140.384288,"['榮川']"
（有）陰山商店,37.3854427,140.389409,"['榮川']"
（有）鎌田屋,37.4257834,140.4044529,"['榮川']"
（資）遠藤商店,37.5913262,140.4353005,"['榮川']"
三代目　酒や　しもだいら - （株）しもだいら,37.5023661,139.9162622,"['榮川']"
（有）勢州屋本宮店,37.4895316,140.3972331,"['榮川']"
（有）あわのや酒店,37.0576654,140.8962062,"['榮川']"
（有）さぎ酒店,36.9492769,140.9005517,"['榮川']"
酒のいしかわ - （株）リンクジャパン,36.9734886,140.8707376,"['榮川']"
（株）松本米店,37.6372999,140.9482788,"['榮川']"
津久井酒店　ハタヤ,36.317142,139.3230382,"['開華']"
（有）ｇｒｅｅｎ（グリーン）,36.346687,138.9928737,"['開華']"
（有）十一屋酒店,36.2520076,138.9867165,"['開華']"
金子酒店,36.2114284,138.7863595,"['開華']"
（名）佐藤静治商店,36.409189,139.0256074,"['開華']"
（有）岩永屋酒店,36.2482481,139.0770488,"['開華']"
ワインフード　ハセガワ,36.4162121,139.3405261,"['開華']"
（有）堀井酒店,36.645298,139.0449865,"['越の誉']"
（有）吉川屋,36.3126325,138.8533695,"['開華']"
淀川酒店 - （株）淀川,36.5629263,139.8622385,"['開華', '仙禽']"
（株）人見酒店,36.5571803,139.9325208,"['仙禽']"
（有）登屋本店,36.8276285,139.7180233,"['仙禽']"
（有）高岡酒店,36.4323776,139.9974743,"['開華']"
（株）嶋田屋本店,36.5466328,139.7713977,"['開華', '仙禽']"
酒蔵　中野屋 - （株）中野屋酒店,36.316084,139.804196,"['開華']"
さいとう酒店 - （有）斉藤酒店,36.8610335,140.0155625,"['仙禽']"
（有）升忠酒店,36.9686705,140.0603833,"['開華', '仙禽']"
大黒屋酒店,36.3344844,139.4462504,"['開華']"
吉川屋酒店,36.3028684,139.5711087,"['開華']"
（株）野代酒店,36.3192835,139.5833491,"['開華']"
福田蔵 - （有）福田商店,36.3964594,139.7564995,"['開華']"
（有）竹中酒店,36.4353983,139.8631359,"['開華', '仙禽']"
菊水商店,36.0355962,140.2181636,"['月の井']"
みのや酒店 - （株）みのや,35.9186047,140.4880155,"['月の井']"
（有）アメヤ吉田酒店,36.0947603,140.1589254,"['月の井']"
タマノ酒店,35.9708112,140.137975,"['月の井']"
佐藤酒店本店,36.147948,140.1590413,"['月の井', '仙禽']"
（有）バッカス　サイトウ,36.2770803,140.0904801,"['月の井', '仙禽']"
酒のナカジマ - （株）ナカジマ,36.191153,139.963419,"['月の井', '仙禽', '多満自慢']"
鈴木酒店 - （株）すずき,36.1566791,139.967644,"['']"
たがみ酒店,36.0782804,140.1195952,"['']"
須藤酒店 - （有）リカーショップ　スドウ,36.0322085,140.0748325,"['月の井', '仙禽']"
（株）アライ,36.1290257,139.811629,"['月の井', '開華', '仙禽']"
（株）池田酒店,36.3085044,139.8763018,"['仙禽']"
大福屋 - ワインショップ　すずき,36.3762475,140.2477158,"['月の井']"
